sleep,screen_time,steps,work_hours,mood,food,stress,productivity,health
9,3,1004,10,4,1,0,181,54
4,9,7984,5,3,4,1,68,101
4,5,11099,9,4,1,1,117,125
8,10,8806,5,1,5,1,95,133
8,9,5461,5,5,2,1,118,86
5,3,8701,10,4,3,1,141,121
8,6,5551,8,3,4,0,141,103
6,9,10375,9,5,1,1,130,120
9,10,11291,4,3,5,1,107,162
9,5,1327,8,2,5,0,149,73
6,9,1934,10,5,3,1,138,46
7,6,3294,10,5,2,0,157,65
8,9,1583,10,5,5,1,158,62
6,5,11836,7,4,2,0,121,148
7,7,4056,8,4,3,0,133,76
8,6,11327,8,3,1,0,141,146
7,5,7186,6,2,4,0,113,116
6,3,7072,7,1,5,0,112,119
9,4,5360,6,4,2,0,146,100
9,5,9647,9,4,1,0,167,136
9,9,8613,10,5,5,1,168,138
8,3,6193,10,2,2,0,161,105
9,7,1578,10,5,2,0,174,56
4,8,11409,10,3,2,1,111,128
6,6,3454,9,3,3,0,129,67
8,4,8617,9,5,5,0,165,143
4,3,4019,4,5,4,1,88,74
9,8,2823,10,1,5,1,151,82
8,9,9848,7,5,4,1,134,140
9,10,7172,4,5,1,1,117,101
4,10,2477,5,2,1,1,60,29
7,8,6023,9,1,4,1,123,99
8,4,1660,6,4,4,0,136,68
8,6,2973,5,4,5,0,122,82
9,7,6187,10,1,4,0,154,112
5,6,2492,4,1,4,1,69,57
7,7,6986,10,1,3,0,134,105
6,9,6611,6,3,4,1,96,98
7,4,6571,9,2,4,0,140,112
8,8,8020,3,2,4,1,90,124
6,9,1865,9,1,2,1,110,40
4,10,4488,9,1,2,1,87,54
5,3,10046,10,1,3,1,126,134
9,5,2766,4,3,3,0,122,77
4,5,3289,10,1,5,1,110,67
6,7,1453,6,4,5,0,107,55
7,5,10622,4,2,1,0,97,136
7,8,3403,5,4,3,1,106,68
5,7,5874,3,5,2,1,78,79
7,4,10147,10,5,4,0,163,148
5,6,2055,5,1,3,1,77,48
5,10,6724,5,1,5,1,65,97
9,4,4243,7,5,2,0,159,89
7,10,11659,9,1,4,1,117,151
8,8,9438,6,1,4,1,109,138
5,4,8230,5,2,4,1,88,119
5,6,6918,3,3,4,1,71,102
4,3,5866,8,2,3,1,105,87
5,5,4089,8,4,1,1,119,60
6,3,9065,10,2,3,0,141,129
9,9,11729,3,4,5,1,107,169
9,6,1386,5,2,3,0,122,61
7,10,2981,10,3,3,1,135,59
4,10,1419,8,5,5,1,99,39
9,6,11945,9,5,1,0,169,157
7,6,5023,7,4,4,0,128,93
7,9,3720,4,5,2,1,100,64
6,6,9603,5,2,2,0,92,124
4,4,2989,6,5,1,1,101,46
8,10,11050,4,2,1,1,92,135
5,9,7054,10,4,2,1,123,87
5,3,4557,4,3,2,1,88,74
9,3,6498,4,2,1,0,123,108
8,7,6238,4,3,5,0,106,113
7,5,8951,10,3,5,0,150,139
6,6,5136,9,4,5,0,134,94
6,4,11494,4,1,2,0,85,146
4,5,5063,9,3,4,1,112,80
7,6,10910,10,4,2,0,152,142
7,9,4361,5,3,3,1,98,75
8,10,11958,5,2,1,1,100,144
4,4,7072,10,4,5,1,128,107
6,4,9163,3,5,2,0,97,123
7,9,2905,8,1,5,1,112,71
8,10,7138,6,5,4,1,123,111
7,4,5076,8,5,3,0,147,92
8,7,1107,6,2,3,0,117,52
5,3,4654,6,1,4,1,94,85
8,6,4957,5,4,4,0,122,97
6,8,8413,5,1,4,1,81,118
6,7,9282,4,5,2,0,96,118
5,4,4473,3,1,4,1,67,81
4,3,8273,10,2,4,1,121,116
5,4,8641,7,4,2,1,114,113
6,8,11251,7,1,4,1,97,146
4,9,8495,5,1,3,1,58,101
9,4,2177,9,2,1,0,160,63
5,9,7049,3,2,1,1,57,82
7,5,3197,4,5,2,0,112,66
9,9,5492,6,5,2,1,136,91
